"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,         212,       1.309888877,      -1.042710383,      -1.082380862,                 0,      -3.874815276
          0,           0,         213,       1.300073343,      -1.052614358,      -1.080249395,                 0,      -3.879031275
          0,           0,         214,        1.28940098,      -1.062968594,      -1.078428366,                 0,      -3.883482132
          0,           0,         215,       1.277953037,      -1.073709875,      -1.077192026,                 0,      -3.888230103
          0,           0,         216,       1.265827755,       -1.08476861,      -1.076777384,                 0,      -3.893344989
          0,           0,         217,       1.253140083,      -1.096069708,      -1.077382587,                 0,      -3.898901756
          0,           0,         218,       1.240020844,      -1.107533665,      -1.079167701,                 0,      -3.904977878
          0,           0,         219,       1.226615126,       -1.11907786,      -1.082256671,                 0,      -3.911650478
          0,           0,         220,       1.213079724,      -1.130618029,      -1.086739469,                 0,      -3.918993335
          0,           0,         221,       1.199579469,      -1.142069927,       -1.09267378,                 0,      -3.927073762
          0,           0,         222,       1.186282381,      -1.153351097,      -1.100085741,                 0,      -3.935949364
          0,           0,         223,        1.17335377,       -1.16438272,      -1.108969464,                 0,       -3.94566461
          0,           0,         224,       1.160949546,      -1.175091459,      -1.119285163,                 0,      -3.956247174
          0,           0,         225,       1.149209268,      -1.185411224,      -1.130955848,                 0,      -3.967703964
          0,           0,         226,       1.138249593,      -1.195284771,      -1.143862709,                 0,      -3.980016805
          0,           0,         227,       1.128158907,      -1.204665037,      -1.157839573,                 0,      -3.993137779
          0,           0,         228,       1.118993816,      -1.213516135,      -1.172667181,                 0,      -4.006984354
          0,           0,         229,       1.110778023,      -1.221813936,      -1.188068601,                 0,      -4.021434628
          0,           0,         230,       1.103503743,      -1.229546184,      -1.203707771,                 0,      -4.036323262
          0,           0,         231,       1.097135462,      -1.236712133,       -1.21919383,                 0,       -4.05143905
          0,           0,         232,       1.091615522,      -1.243321706,      -1.234094219,                 0,      -4.066525439
          0,           0,         233,       1.086870781,      -1.249394235,      -1.247958939,                 0,      -4.081285615
          0,           0,         234,       1.082819576,      -1.254956853,      -1.260356301,                 0,      -4.095393743
          0,           0,         235,        1.07937827,       -1.26004263,      -1.270916935,                 0,      -4.108513423
          0,           0,         236,       1.076466853,      -1.264688593,      -1.279378541,                 0,      -4.120323043
          0,           0,         237,        1.07401327,      -1.268933723,      -1.285620968,                 0,      -4.130545681
          0,           0,         238,       1.071956365,      -1.272817051,        -1.2896819,                 0,      -4.138978965
          0,           0,         239,       1.070247452,      -1.276375942,      -1.291748323,                 0,      -4.145518868
          0,           0,         240,       1.068850687,      -1.279644645,       -1.29212622,                 0,      -4.150171768
          0,           0,         241,        1.06774242,      -1.282653129,      -1.291196989,                 0,      -4.153051629
          0,           0,         242,       1.066909782,      -1.285426252,       -1.28937123,                 0,      -4.154362926
          0,           0,         243,       1.066348743,      -1.287983226,      -1.287048645,                 0,      -4.154373492
          0,           0,         244,       1.066061868,      -1.290337376,      -1.284588753,                 0,      -4.153383295
          0,           0,         245,       1.066055998,      -1.292496146,      -1.282293126,                 0,      -4.151694834
          0,           0,         246,       1.066340045,      -1.294461299,      -1.280397295,                 0,      -4.149589049
          0,           0,         247,       1.066923054,      -1.296229274,      -1.279069449,                 0,      -4.147308379
          0,           0,         248,       1.067812644,       -1.29779167,      -1.278413203,                 0,      -4.145046769
          0,           0,         249,       1.069013869,      -1.299135834,      -1.278472346,                 0,      -4.142945407
          0,           0,         250,       1.070528522,      -1.300245533,      -1.279236248,                 0,      -4.141092649
          0,           0,         251,       1.072354845,      -1.301101718,      -1.280645292,                 0,      -4.139526749
          0,           0,         252,       1.074487543,      -1.301683383,      -1.282596256,                 0,      -4.138240396
          0,           0,         253,       1.076918017,      -1.301968532,      -1.284947905,                 0,      -4.137186459
          0,           0,         254,       1.079634692,      -1.301935263,      -1.287527322,                 0,       -4.13628471
          0,           0,         255,       1.082623345,      -1.301562957,      -1.290137557,                 0,      -4.135429458
          0,           0,         256,       1.085867353,      -1.300833566,      -1.292567092,                 0,      -4.134498124
          0,           0,         257,       1.089347828,      -1.299732938,      -1.294601358,                 0,      -4.133360698
          0,           0,         258,       1.093043625,      -1.298252116,      -1.296036037,                 0,      -4.131889813
          0,           0,         259,       1.096931249,      -1.296388533,      -1.296691341,                 0,      -4.129970925
          0,           0,         260,        1.10098473,      -1.294146997,      -1.296425815,                 0,      -4.127511831
          0,           0,         261,        1.10517552,      -1.291540373,      -1.295147886,                 0,      -4.124450596
          0,           0,         262,        1.10947249,      -1.288589878,      -1.292823402,                 0,      -4.120761011
          0,           0,         263,       1.113842082,      -1.285324958,      -1.289477903,                 0,      -4.116454926
          0,           0,         264,       1.118248654,      -1.281782713,      -1.285193326,                 0,      -4.111581241
          0,           0,         265,       1.122655033,      -1.278006916,      -1.280099807,                 0,      -4.106221815
          0,           0,         266,       1.127023256,      -1.274046686,      -1.274364103,                 0,      -4.100484992
          0,           0,         267,       1.131315466,      -1.269954919,      -1.268176523,                 0,      -4.094497706
          0,           0,         268,       1.135494901,      -1.265786581,      -1.261738161,                 0,      -4.088397195
          0,           0,         269,        1.13952691,       -1.26159699,      -1.255249797,                 0,       -4.08232317
          0,           0,         270,       1.143379931,      -1.257440186,      -1.248903207,                 0,      -4.076411101
          0,           0,         271,       1.147026353,      -1.253367483,      -1.242875102,                 0,      -4.070786908
          0,           0,         272,       1.150443221,       -1.24942626,       -1.23732348,                 0,      -4.065563165
          0,           0,         273,       1.153612739,      -1.245659033,      -1.232385969,                 0,       -4.06083668
          0,           0,         274,       1.156522525,      -1.242102821,      -1.228179629,                 0,      -4.056687241
          0,           0,         275,       1.159165639,      -1.238788807,      -1.224801746,                 0,      -4.053177275
          0,           0,         276,       1.161540339,      -1.235742267,      -1.222331195,                 0,      -4.050352152
          0,           0,         277,        1.16364962,      -1.232982738,      -1.220830062,                 0,      -4.048240935
          0,           0,         278,       1.165500529,      -1.230524397,      -1.220345299,                 0,      -4.046857408
          0,           0,         279,       1.167103302,      -1.228376598,      -1.220910278,                 0,      -4.046201249
          0,           0,         280,       1.168470375,      -1.226544533,      -1.222546131,                 0,      -4.046259295
          0,           0,         281,       1.169615297,      -1.225029979,      -1.225262854,                 0,      -4.047006836
          0,           0,         282,       1.170551633,      -1.223832082,      -1.229060122,                 0,      -4.048408935
          0,           0,         283,       1.171291894,      -1.222948146,      -1.233927835,                 0,      -4.050421772
          0,           0,         284,       1.171846559,       -1.22237439,      -1.239846366,                 0,      -4.052994014
          0,           0,         285,       1.172223257,      -1.222106642,      -1.246786541,                 0,      -4.056068235
          0,           0,         286,       1.172426132,      -1.222140943,      -1.254709345,                 0,      -4.059582379
          0,           0,         287,        1.17245545,      -1.222474039,      -1.263565361,                 0,      -4.063471274
          0,           0,         288,       1.172307445,      -1.223103744,      -1.273293974,                 0,      -4.067668173
          0,           0,         289,       1.171974411,      -1.224029164,      -1.283822351,                 0,      -4.072106313
          0,           0,         290,       1.171445029,      -1.225250785,      -1.295064253,                 0,      -4.076720426
          0,           0,         291,       1.170704889,      -1.226770423,      -1.306918762,                 0,      -4.081448175
          0,           0,         292,       1.169737178,      -1.228591045,      -1.319269016,                 0,       -4.08623144
          0,           0,         293,       1.168523469,       -1.23071649,      -1.331981162,                 0,      -4.091017412
          0,           0,         294,       1.167044579,      -1.233151091,       -1.34490373,                 0,      -4.095759441
          0,           0,         295,       1.165281429,      -1.235899225,       -1.35786776,                 0,      -4.100417601
          0,           0,         296,       1.163215884,      -1.238964831,       -1.37068805,                 0,      -4.104958974
          0,           0,         297,       1.160831516,      -1.242350893,      -1.383165918,                 0,      -4.109357648
          0,           0,         298,       1.158114273,      -1.246058924,      -1.395093836,                 0,      -4.113594473
          0,           0,         299,       1.155053038,      -1.250088474,      -1.406262157,                 0,      -4.117656621
          0,           0,         300,       1.151640055,      -1.254436673,      -1.416467876,                 0,       -4.12153702
          0,           0,         301,       1.147871224,       -1.25909783,      -1.425524986,                 0,      -4.125233716
          0,           0,         302,       1.143746267,      -1.264063096,      -1.433275537,                 0,      -4.128749249
          0,           0,         303,       1.139268755,      -1.269320217,      -1.439600124,                 0,       -4.13209007
          0,           0,         304,       1.134446023,      -1.274853375,       -1.44442634,                 0,      -4.135266053
