"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,         117,      0.8519567893,      -1.457797231,      -1.612671507,                 0,      -4.423528525
          0,           0,         118,       0.853434456,      -1.453189207,      -1.606322435,                 0,      -4.418613387
          0,           0,         119,      0.8555782437,      -1.448464396,      -1.599153206,                 0,      -4.412690531
          0,           0,         120,      0.8583612566,      -1.443645823,      -1.591255062,                 0,      -4.405874629
          0,           0,         121,      0.8617587805,      -1.438742829,      -1.582744103,                 0,      -4.398282028
          0,           0,         122,      0.8657524408,       -1.43375206,      -1.573752314,                 0,       -4.39002473
          0,           0,         123,      0.8703315658,       -1.42865977,      -1.564419328,                 0,      -4.381208417
          0,           0,         124,       0.875492093,      -1.423445056,      -1.554885587,                 0,      -4.371933271
          0,           0,         125,      0.8812337681,      -1.418083562,      -1.545287115,                 0,      -4.362295999
          0,           0,         126,      0.8875565769,      -1.412551185,      -1.535751744,                 0,      -4.352391557
          0,           0,         127,      0.8944573188,       -1.40682734,      -1.526396424,                 0,      -4.342313536
          0,           0,         128,      0.9019269947,      -1.400897476,      -1.517325211,                 0,      -4.332152762
          0,           0,         129,      0.9099493295,      -1.394754677,      -1.508627576,                 0,      -4.321994267
          0,           0,         130,      0.9185003679,      -1.388400368,      -1.500376864,                 0,      -4.311913254
          0,           0,         131,      0.9275487769,      -1.381844283,      -1.492628844,                 0,      -4.301970948
          0,           0,         132,      0.9370563413,       -1.37510398,      -1.485420498,                 0,      -4.292211281
          0,           0,         133,       0.946978167,      -1.368204181,      -1.478769275,                 0,      -4.282659211
          0,           0,         134,      0.9572622947,      -1.361176195,      -1.472673089,                 0,      -4.273321241
          0,           0,         135,      0.9678487041,      -1.354057564,      -1.467111395,                 0,      -4.264188345
          0,           0,         136,      0.9786679631,      -1.346891942,      -1.462047555,                 0,      -4.255241162
          0,           0,         137,      0.9896399764,      -1.339729101,       -1.45743264,                 0,      -4.246456909
          0,           0,         138,       1.000673354,      -1.332624868,      -1.453210602,                 0,      -4.237817163
          0,           0,         139,       1.011665833,      -1.325640771,      -1.449324539,                 0,      -4.229315441
          0,           0,         140,       1.022506015,      -1.318843192,      -1.445723518,                 0,      -4.220963416
          0,           0,         141,       1.033076402,      -1.312301921,      -1.442369213,                 0,      -4.212794811
          0,           0,         142,       1.043257521,      -1.306088083,      -1.439241501,                 0,      -4.204866326
          0,           0,         143,       1.052932739,      -1.300271521,      -1.436342178,                 0,      -4.197255448
          0,           0,         144,       1.061993312,      -1.294917805,      -1.433696175,                 0,      -4.190055495
          0,           0,         145,       1.070343215,       -1.29008509,       -1.43134998,                 0,       -4.18336861
          0,           0,         146,       1.077903417,      -1.285821049,       -1.42936737,                 0,      -4.177297642
          0,           0,         147,       1.084615329,      -1.282160112,      -1.427822941,                 0,      -4.171937838
          0,           0,         148,       1.090443304,        -1.2791212,      -1.426794157,                 0,      -4.167369142
          0,           0,         149,       1.095376096,      -1.276706117,      -1.426352762,                 0,      -4.163649654
          0,           0,         150,       1.099427294,      -1.274898712,      -1.426556365,                 0,      -4.160810612
          0,           0,         151,       1.102634703,      -1.273664903,      -1.427440878,                 0,       -4.15885307
          0,           0,         152,         1.1050587,       -1.27295361,       -1.42901436,                 0,      -4.157746378
          0,           0,         153,       1.106779574,      -1.272698622,      -1.431252695,                 0,       -4.15742852
          0,           0,         154,       1.107893899,      -1.272821348,      -1.434097502,                 0,      -4.157808378
          0,           0,         155,       1.108510019,      -1.273234385,      -1.437456604,                 0,      -4.158769985
          0,           0,         156,       1.108742821,      -1.273845704,      -1.441207401,                 0,      -4.160178749
          0,           0,         157,       1.108708074,      -1.274563233,      -1.445203374,                 0,      -4.161889478
          0,           0,         158,       1.108516691,      -1.275299482,      -1.449283686,                 0,      -4.163755812
          0,           0,         159,       1.108269384,      -1.275975864,      -1.453285441,                 0,      -4.165640329
          0,           0,         160,       1.108052177,      -1.276526308,      -1.457057583,                 0,      -4.167424329
          0,           0,         161,       1.107933193,      -1.276899862,      -1.460474814,                 0,      -4.169016106
          0,           0,         162,       1.107961002,      -1.277062068,      -1.463449491,                 0,      -4.170356589
          0,           0,         163,       1.108164584,      -1.276995061,      -1.465939444,                 0,      -4.171421511
          0,           0,         164,       1.108554787,      -1.276696489,      -1.467950143,                 0,      -4.172219789
          0,           0,         165,       1.109126919,      -1.276177509,      -1.469530576,                 0,      -4.172788418
          0,           0,         166,       1.109864026,      -1.275460193,      -1.470763306,                 0,      -4.173184678
          0,           0,         167,       1.110740342,      -1.274574702,      -1.471750118,                 0,      -4.173476816
