"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          42,      -4.695308391,       -1.88830024,      -2.077895145,      0.8080988514,      -6.806214318,     0.01344366042,      0.7239845949,                 0,                 0,                 0,      0.0928730381,    -0.01574832069,        0.72393813,                 0,       53.85323432,    0.009303285525
          0,           0,          43,      -4.703336183,      -1.891896991,      -2.104077913,      0.7986803289,      -6.806728599,     0.01344354898,      0.7239819129,                 0,                 0,                 0,     0.09287229169,    -0.01574832394,      0.7239354456,                 0,       53.85348123,    0.009303285525
          0,           0,          44,      -4.709924174,      -1.894844186,      -2.128816651,       0.793397763,      -6.807302384,     0.01344342485,      0.7239789195,                 0,                 0,                 0,     0.09287146613,    -0.01574832733,      0.7239324497,                 0,       53.85375586,    0.009303285525
          0,           0,          45,      -4.716062118,      -1.897414683,      -2.150386773,      0.7908153622,      -6.807929823,     0.01344328689,      0.7239755926,                 0,                 0,                 0,     0.09287055726,    -0.01574833107,      0.7239291199,                 0,       53.85406102,    0.009303285525
          0,           0,          46,      -4.722749733,      -1.899979256,      -2.168102358,      0.7889195659,      -6.808605204,     0.01344313398,      0.7239719095,                 0,                 0,                 0,     0.09286956092,     -0.0157483354,      0.7239254336,                 0,       53.85439961,    0.009303285525
          0,           0,          47,      -4.730761598,      -1.902903939,      -2.182515844,      0.7858379603,      -6.809322807,     0.01344296498,      0.7239678478,                 0,                 0,                 0,     0.09286847301,    -0.01574834055,      0.7239213684,                 0,       53.85477449,    0.009303285525
          0,           0,          48,      -4.740525226,      -1.906467503,       -2.19507612,      0.7802787859,       -6.81007688,     0.01344277884,      0.7239633861,                 0,                 0,                 0,     0.09286728967,    -0.01574834672,      0.7239169029,                 0,       53.85518835,    0.009303285525
          0,           0,          49,      -4.752100073,      -1.910815998,      -2.207487276,       0.771670821,      -6.810863552,     0.01344257458,      0.7239585046,                 0,                 0,                 0,     0.09286600744,    -0.01574835405,      0.7239120172,                 0,       53.85564352,    0.009303285525
          0,           0,          50,      -4.765225624,        -1.9159559,       -2.22113946,      0.7601222928,      -6.811676652,     0.01344235141,      0.7239531857,                 0,                 0,                 0,     0.09286462349,    -0.01574836266,      0.7239066935,                 0,       53.85614196,    0.009303285525
          0,           0,          51,      -4.779413113,      -1.921778171,      -2.236798773,      0.7462952188,      -6.812511036,      0.0134421087,      0.7239474145,                 0,                 0,                 0,      0.0928631358,    -0.01574837256,      0.7239009173,                 0,       53.85668506,    0.009303285525
          0,           0,          52,      -4.794064632,      -1.928101731,      -2.254537187,      0.7312281218,      -6.813360297,     0.01344184603,        0.72394118,                 0,                 0,                 0,     0.09286154335,    -0.01574838372,      0.7238946773,                 0,       53.85727365,    0.009303285525
          0,           0,          53,      -4.808603617,      -1.934723928,      -2.273819912,      0.7161062404,      -6.814222331,     0.01344156324,      0.7239344749,                 0,                 0,                 0,     0.09285984632,    -0.01574839602,      0.7238879662,                 0,       53.85790788,    0.009303285525
          0,           0,          54,      -4.822593293,      -1.941466103,      -2.293696542,      0.7019922237,      -6.815093724,     0.01344126043,      0.7239272967,                 0,                 0,                 0,     0.09285804621,    -0.01574840927,      0.7238807816,                 0,        53.8585872,    0.009303285525
          0,           0,          55,      -4.835814678,      -1.948204601,       -2.31307055,      0.6895761428,      -6.815970954,     0.01344093794,      0.7239196478,                 0,                 0,                 0,     0.09285614593,    -0.01574842319,      0.7238731259,                 0,       53.85931032,    0.009303285525
          0,           0,          56,       -4.84828353,      -1.954882005,      -2.331005427,      0.6790349986,       -6.81685409,     0.01344059646,      0.7239115358,                 0,                 0,                 0,     0.09285414997,    -0.01574843743,      0.7238650068,                 0,       53.86007516,    0.009303285525
          0,           0,          57,      -4.860206482,      -1.961499208,      -2.346980709,      0.6700612382,      -6.817748383,     0.01344023695,      0.7239029743,                 0,                 0,                 0,     0.09285206438,    -0.01574845157,      0.7238564377,                 0,       53.86087889,    0.009303285525
          0,           0,          58,      -4.871898701,      -1.968094301,      -2.360996682,       0.662036486,      -6.818652057,     0.01343986066,      0.7238939826,                 0,                 0,                 0,     0.09284989684,    -0.01574846514,      0.7238474382,                 0,       53.86171785,    0.009303285525
          0,           0,          59,      -4.883695069,      -1.974716899,      -2.373486973,      0.6542592321,       -6.81956812,     0.01343946916,      0.7238845862,                 0,                 0,                 0,     0.09284765665,    -0.01574847758,      0.7238380336,                 0,       53.86258767,    0.009303285525
          0,           0,          60,      -4.895880912,      -1.981406215,      -2.385097808,      0.6461342415,      -6.820503503,     0.01343906434,      0.7238748167,                 0,                 0,                 0,      0.0928453547,     -0.0157484883,      0.7238282557,                 0,       53.86348323,    0.009303285525
          0,           0,          61,      -4.908654232,      -1.988178082,      -2.396447237,      0.6372778545,      -6.821467261,     0.01343864832,      0.7238647119,                 0,                 0,                 0,     0.09284300347,    -0.01574849669,      0.7238181424,                 0,       53.86439874,    0.009303285525
          0,           0,          62,      -4.922118212,        -1.9950225,      -2.407957399,      0.6275408691,      -6.822468595,     0.01343822352,      0.7238543156,                 0,                 0,                 0,     0.09284061687,    -0.01574850211,      0.7238077374,                 0,       53.86532783,    0.009303285525
          0,           0,          63,      -4.936295651,      -2.001910113,      -2.419787815,      0.6169729338,      -6.823519224,     0.01343779258,      0.7238436776,                 0,                 0,                 0,     0.09283821022,    -0.01574850393,      0.7237970907,                 0,       53.86626361,    0.009303285525
          0,           0,          64,      -4.951154772,      -2.008803959,      -2.431861045,      0.6057556238,      -6.824631041,     0.01343735833,      0.7238328528,                 0,                 0,                 0,     0.09283580006,    -0.01574850152,      0.7237862572,                 0,       53.86719883,    0.009303285525
          0,           0,          65,       -4.96663678,      -2.015672309,      -2.443946623,      0.5941266312,      -6.825817851,     0.01343692375,      0.7238219012,                 0,                 0,                 0,     0.09283340401,    -0.01574849433,       0.723775297,                 0,       53.86812596,    0.009303285525
          0,           0,          66,      -4.982678259,      -2.022498959,      -2.455768982,      0.5823121916,      -6.827094684,     0.01343649196,       0.723810887,                 0,                 0,                 0,     0.09283104055,    -0.01574848183,      0.7237642744,                 0,       53.86903733,    0.009303285525
          0,           0,          67,      -4.999224517,       -2.02928875,      -2.467107031,      0.5704800301,      -6.828477299,     0.01343606612,       0.723799878,                 0,                 0,                 0,     0.09282872885,    -0.01574846359,      0.7237532571,                 0,        53.8699253,    0.009303285525
          0,           0,          68,      -5.016232989,      -2.036067782,      -2.477859303,      0.5587191204,      -6.829982222,      0.0134356494,      0.7237889442,                 0,                 0,                 0,     0.09282648848,    -0.01574843928,      0.7237423154,                 0,       53.87078234,    0.009303285525
          0,           0,          69,      -5.033668389,      -2.042879288,      -2.488061216,      0.5470452975,      -6.831626987,     0.01343524494,      0.7237781578,                 0,                 0,                 0,     0.09282433914,    -0.01574840865,      0.7237315214,                 0,       53.87160124,    0.009303285525
          0,           0,          70,      -5.051492834,      -2.049777061,      -2.497857959,      0.5354252103,      -6.833430537,     0.01343485579,       0.723767591,                 0,                 0,                 0,     0.09282230042,    -0.01574837157,      0.7237209475,                 0,       53.87237514,    0.009303285525
          0,           0,          71,      -5.069654615,      -2.056818444,      -2.507450694,      0.5238076293,      -6.835411816,     0.01343448486,      0.7237573159,                 0,                 0,                 0,     0.09282039152,    -0.01574832805,      0.7237106658,                 0,       53.87309773,    0.009303285525
          0,           0,          72,      -5.088078745,      -2.064058513,      -2.517038676,       0.512151714,      -6.837589984,     0.01343413489,      0.7237474029,                 0,                 0,                 0,     0.09281863089,    -0.01574827818,      0.7237007468,                 0,       53.87376328,    0.009303285525
          0,           0,          73,      -5.106661239,      -2.071546301,      -2.526775197,      0.5004453825,       -6.83998425,     0.01343380838,      0.7237379196,                 0,                 0,                 0,     0.09281703606,    -0.01574822219,      0.7236912581,                 0,       53.87436677,    0.009303285525
          0,           0,          74,      -5.125267917,      -2.079323185,      -2.536745754,      0.4887113846,      -6.842613892,     0.01343350759,      0.7237289301,                 0,                 0,                 0,     0.09281562331,    -0.01574816041,      0.7236822638,                 0,       53.87490388,    0.009303285525
          0,           0,          75,        -5.1437374,      -2.087422948,      -2.546968021,      0.4770025307,      -6.845498251,      0.0134332345,      0.7237204938,                 0,                 0,                 0,     0.09281440744,    -0.01574809324,      0.7236738233,                 0,       53.87537112,    0.009303285525
          0,           0,          76,      -5.161887434,      -2.095872828,      -2.557407618,      0.4653897246,      -6.848656912,     0.01343299077,      0.7237126645,                 0,                 0,                 0,     0.09281340156,     -0.0157480212,      0.7236659906,                 0,       53.87576577,    0.009303285525
          0,           0,          77,      -5.179523378,      -2.104694791,      -2.568001588,      0.4539473368,      -6.852109436,     0.01343277778,      0.7237054899,                 0,                 0,                 0,     0.09281261693,    -0.01574794484,      0.7236588131,                 0,       53.87608594,    0.009303285525
          0,           0,          78,      -5.196447834,       -2.11390645,      -2.578681779,      0.4427400303,       -6.85587529,     0.01343259653,      0.7236990106,                 0,                 0,                 0,     0.09281206275,    -0.01574786478,      0.7236523318,                 0,       53.87633054,    0.009303285525
          0,           0,          79,      -5.212470653,      -2.123521332,      -2.589392237,      0.4318138721,       -6.85997375,     0.01343244773,        0.72369326,                 0,                 0,                 0,      0.0928117461,    -0.01574778168,      0.7236465799,                 0,       53.87649925,    0.009303285525
          0,           0,          80,      -5.227418864,      -2.133548427,      -2.600097459,      0.4211928916,      -6.864424222,     0.01343233175,      0.7236882638,                 0,                 0,                 0,     0.09281167186,    -0.01574769619,      0.7236415831,                 0,       53.87659248,    0.009303285525
          0,           0,          81,      -5.241146186,      -2.143991177,      -2.610781274,      0.4108806269,      -6.869245713,     0.01343224865,        0.72368404,                 0,                 0,                 0,     0.09281184261,    -0.01574760897,      0.7236373594,                 0,       53.87661134,    0.009303285525
          0,           0,          82,      -5.253541747,      -2.154846154,      -2.621438542,      0.4008650766,      -6.874457322,     0.01343219819,      0.7236805987,                 0,                 0,                 0,     0.09281225869,    -0.01574752069,      0.7236339188,                 0,       53.87655755,    0.009303285525
